City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
262,Ritchie,ZA,89.6,broken clouds,-29.038,24.6028,Riverside Country Club Modderrivier
275,San Patricio,US,86.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
281,Guiratinga,BR,89.8,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
284,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
286,San Nicolas,PH,79.95,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
288,Namatanai,PG,80.42,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
293,Mathbaria,BD,81.73,overcast clouds,22.2876,89.9593,Shikdar Hotel
294,Jalu,LY,86.05,broken clouds,29.0331,21.5482,صاحبة الفخامة
300,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
306,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
310,Port Moresby,PG,75.94,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
312,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
313,Coari,BR,86.74,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
315,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
317,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
319,Kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
320,Dzilam Gonzalez,MX,86.2,few clouds,21.2833,-88.9333,posadas
321,Biak,ID,77.52,broken clouds,-0.9131,122.8766,Penginapan Kim
324,Nanyamba,TZ,79.25,overcast clouds,-10.6833,39.8333,Busati Lodge Nanyamba
325,Mogadishu,SO,78.57,overcast clouds,2.0371,45.3438,Hotel Juba
331,Mana,GF,87.64,few clouds,5.6592,-53.7767,LE SAMANA
332,Lang Suan,TH,77.49,overcast clouds,9.9456,99.0785,Langsuan Resort
336,Kirakira,SB,78.67,overcast clouds,-10.4544,161.9205,SanBiz Lodge
347,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
348,Luwuk,ID,78.24,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
352,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
353,Ghanzi,BW,87.93,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
355,Waingapu,ID,78.48,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
359,Daru,PG,78.17,overcast clouds,-9.0763,143.2092,Daru Lodge
363,Lingao,CN,76.91,light rain,19.9103,109.6859,Lingao Ditai Inn
364,Pilar,BR,87.73,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
368,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
378,Bandarbeyla,SO,79.45,overcast clouds,9.4942,50.8122,JABIR HOTEL
379,Calbiga,PH,77.13,overcast clouds,11.6247,125.0164,Lola Rosa
382,Uvira,CD,81.25,overcast clouds,-3.4067,29.1458,Hotel Suzana
387,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
395,Hirara,JP,82.08,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
400,Santa Cruz,BO,84.9,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
411,Poso,ID,78.22,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
412,Bathsheba,BB,84.61,overcast clouds,13.2167,-59.5167,Atlantis Hotel
418,Soyo,AO,78.96,broken clouds,-6.1349,12.3689,Hotel Mpampa
420,Dohar,BD,87.78,few clouds,23.5883,90.1469,zaman cominitue center
421,Qui Nhon,VN,78.53,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
422,Andros Town,BS,78.76,broken clouds,24.7,-77.7667,Hanks place
423,San Antonio,US,81.1,mist,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
429,Eshowe,ZA,84.0,broken clouds,-28.8865,31.4699,Sugar Hill Manor
434,Sur,OM,82.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
438,Kulhudhuffushi,MV,82.8,broken clouds,6.6221,73.07,Hondaafushi Island Resort
440,Dingle,PH,77.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
443,Awbari,LY,79.48,overcast clouds,26.5921,12.7805,فندق أوباري
444,Karaton,ID,85.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
450,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
452,Manokwari,ID,79.72,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
453,Alyangula,AU,75.07,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
456,Tak Bai,TH,81.23,overcast clouds,6.2595,102.0546,รุสสามาวาตี สามะแอ
458,Acajutla,SV,83.75,clear sky,13.5928,-89.8275,asi es
459,Trat,TH,81.99,heavy intensity rain,12.5,102.5,สวนหนิง-อัศ
460,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
466,Sompeta,IN,81.1,overcast clouds,18.9333,84.6,Netaji's Home
467,Garowe,SO,87.17,overcast clouds,8.4054,48.4845,Curubo Hotel
471,Porto Novo,BJ,87.21,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
477,Realeza,BR,79.9,scattered clouds,-25.7689,-53.5325,Hotel Renascer
481,Carballo,ES,81.59,clear sky,43.213,-8.691,Pazo do Souto
484,Jacqueville,CI,84.11,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
487,San-Pedro,CI,81.14,broken clouds,4.7485,-6.6363,Hotel Maria
490,Mayumba,GA,79.0,broken clouds,-3.432,10.6554,LIKWALE LODGE
494,Nizwa,OM,89.76,broken clouds,22.9333,57.5333,Orient Apartments
504,Saurimo,AO,89.58,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
505,Sao Sebastiao Do Paraiso,BR,78.24,few clouds,-20.9169,-46.9914,BM Hotel
507,Gabane,BW,83.35,clear sky,-24.6667,25.7822,Yarona Hotel
509,Luanda,AO,77.23,broken clouds,-8.8368,13.2343,Hotel Fórum
514,Cockburn Town,TC,82.76,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
