City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Grojec,PL,2021-10-06 19:45:24,51.8625,20.8676,58.59,50,100,14.85
112,Bose,IT,2021-10-06 19:45:24,45.4612,8.0137,57.74,60,0,6.22
113,Victoria,HK,2021-10-06 19:43:47,22.2855,114.1577,85.32,79,3,1.99
114,Vestmanna,FO,2021-10-06 19:45:25,62.1564,-7.1664,43.72,87,75,14.97
115,College,US,2021-10-06 19:45:25,64.8569,-147.8028,42.21,79,75,3.44
116,Cherskiy,RU,2021-10-06 19:45:26,68.75,161.3,9.18,97,98,6.55
117,Honningsvag,NO,2021-10-06 19:45:26,70.9821,25.9704,44.35,70,75,11.5
118,Ahuimanu,US,2021-10-06 19:45:26,21.4447,-157.8378,83.91,63,1,14.97
119,Gizo,SB,2021-10-06 19:45:27,-8.103,156.8419,81.77,75,57,4.68
120,Ilulissat,GL,2021-10-06 19:45:27,69.2167,-51.1,30.22,59,75,2.3
121,Torbay,CA,2021-10-06 19:45:27,47.6666,-52.7314,62.76,59,30,15.99
122,Maragogi,BR,2021-10-06 19:43:56,-9.0122,-35.2225,77.23,80,53,9.31
123,Tuktoyaktuk,CA,2021-10-06 19:45:29,69.4541,-133.0374,33.8,75,20,16.11
124,Ebebiyin,GQ,2021-10-06 19:45:29,2.1511,11.3353,69.58,99,100,3.67
125,Saint-Leu,RE,2021-10-06 19:45:29,-21.15,55.2833,68.86,79,0,3.36
126,Lubao,PH,2021-10-06 19:45:30,14.9167,120.55,80.62,95,100,0.89
127,Nazca,PE,2021-10-06 19:45:30,-14.8333,-74.95,83.97,36,53,9.73
128,Khatanga,RU,2021-10-06 19:45:31,71.9667,102.5,21.36,96,100,9.01
129,Noumea,NC,2021-10-06 19:45:31,-22.2763,166.4572,75.0,99,87,10.36
130,Oum Hadjer,TD,2021-10-06 19:45:31,13.2954,19.6966,87.66,16,67,8.81
131,Paragominas,BR,2021-10-06 19:45:32,-2.9667,-47.4833,86.38,54,100,5.06
132,Dali,CN,2021-10-06 19:45:32,25.7,100.1833,59.92,94,40,4.43
133,Rio Grande City,US,2021-10-06 19:45:32,26.3798,-98.8203,91.89,29,79,5.08
134,Lavrentiya,RU,2021-10-06 19:45:33,65.5833,-171.0,36.3,99,100,8.9
135,Palmer,US,2021-10-06 19:45:33,42.1584,-72.3287,74.01,60,40,0.0
136,Dwarka,IN,2021-10-06 19:45:33,22.2394,68.9678,81.63,77,7,9.55
137,Kem,RU,2021-10-06 19:45:34,64.9555,34.5793,49.69,67,100,19.55
138,Pacific Grove,US,2021-10-06 19:41:04,36.6177,-121.9166,72.57,78,40,3.0
139,Am Timan,TD,2021-10-06 19:45:34,11.0297,20.2827,81.18,56,5,2.28
140,Walvis Bay,NA,2021-10-06 19:45:35,-22.9575,14.5053,56.08,87,12,6.91
141,Bambanglipuro,ID,2021-10-06 19:42:09,-7.95,110.2833,74.57,76,81,4.94
142,Saint George,US,2021-10-06 19:41:24,37.1041,-113.5841,78.64,39,1,1.01
143,Tasiilaq,GL,2021-10-06 19:45:35,65.6145,-37.6368,33.96,64,0,5.14
144,Sao Paulo De Olivenca,BR,2021-10-06 19:45:36,-3.3783,-68.8725,81.95,89,85,1.97
145,Margate,GB,2021-10-06 19:42:01,51.3813,1.3862,54.88,83,25,5.17
146,Dawlatabad,AF,2021-10-06 19:45:36,36.4141,64.9053,56.93,36,30,4.47
147,Yarada,IN,2021-10-06 19:45:36,17.65,83.2667,82.72,89,20,2.3
148,Sao Jose Da Coroa Grande,BR,2021-10-06 19:45:37,-8.8978,-35.1478,77.67,79,45,9.91
149,Buala,SB,2021-10-06 19:45:37,-8.145,159.5921,80.89,78,63,5.23
150,Narsaq,GL,2021-10-06 19:45:37,60.9167,-46.05,46.62,55,100,8.25
151,Ponta Do Sol,PT,2021-10-06 19:45:38,32.6667,-17.1,73.0,76,97,4.5
152,Ishigaki,JP,2021-10-06 19:45:38,24.3448,124.1572,82.24,81,100,13.24
153,Port Elizabeth,ZA,2021-10-06 19:45:39,-33.918,25.5701,64.09,88,20,11.5
154,Sorland,NO,2021-10-06 19:45:39,67.667,12.6934,42.87,73,100,22.28
155,Tuatapere,NZ,2021-10-06 19:45:40,-46.1333,167.6833,49.82,82,100,5.14
156,Port Shepstone,ZA,2021-10-06 19:45:40,-30.7414,30.455,66.18,85,85,11.88
157,Iqaluit,CA,2021-10-06 19:45:40,63.7506,-68.5145,42.53,70,75,8.99
158,Pacifica,US,2021-10-06 19:45:41,37.6138,-122.4869,72.91,73,90,3.0
159,Bethel,US,2021-10-06 19:45:41,41.3712,-73.414,70.41,78,90,0.0
160,Chuy,UY,2021-10-06 19:45:41,-33.6971,-53.4616,55.33,64,63,17.69
161,Svetlaya,RU,2021-10-06 19:45:42,46.5389,138.3297,47.26,62,100,6.24
162,Bonavista,CA,2021-10-06 19:45:42,48.6499,-53.1147,63.12,65,15,8.48
163,Sao Joao Da Barra,BR,2021-10-06 19:45:42,-21.6403,-41.0511,75.29,81,90,10.0
164,Guerrero Negro,MX,2021-10-06 19:41:46,27.9769,-114.0611,76.55,55,54,16.73
165,Debre Sina,ET,2021-10-06 19:45:43,9.85,39.7667,55.99,72,48,2.64
166,Edremit,TR,2021-10-06 19:45:43,39.5961,27.0244,60.55,63,20,12.66
167,Port Augusta,AU,2021-10-06 19:45:44,-32.5,137.7667,53.74,65,0,16.22
168,Dikson,RU,2021-10-06 19:45:44,73.5069,80.5464,31.32,83,100,9.06
169,Uruzgan,AF,2021-10-06 19:45:44,32.8333,66.0,58.51,17,0,0.69
170,Longyearbyen,SJ,2021-10-06 19:45:45,78.2186,15.6401,35.44,75,75,12.66
171,New Norfolk,AU,2021-10-06 19:45:45,-42.7826,147.0587,47.71,74,100,1.99
172,Alta Floresta,BR,2021-10-06 19:45:45,-9.8756,-56.0861,94.82,52,40,4.61
173,Santa Rita Do Sapucai,BR,2021-10-06 19:40:49,-22.2522,-45.7033,82.9,49,6,2.3
174,Gayny,RU,2021-10-06 19:45:46,60.3071,54.3241,35.33,94,38,5.03
175,General Roca,AR,2021-10-06 19:45:46,-39.0333,-67.5833,61.2,14,0,6.73
176,Xichang,CN,2021-10-06 19:45:46,27.8964,102.2634,64.58,93,82,1.95
177,Banjar,ID,2021-10-06 19:45:47,-8.19,114.9675,75.06,89,43,7.54
178,Orange Cove,US,2021-10-06 19:45:47,36.6244,-119.3137,83.84,36,1,4.61
179,Jakar,BT,2021-10-06 19:45:47,27.5492,90.7525,52.83,95,61,1.83
180,Kirakira,SB,2021-10-06 19:45:48,-10.4544,161.9205,80.58,83,98,8.88
181,Olafsvik,IS,2021-10-06 19:45:48,64.8945,-23.7142,41.13,71,20,15.01
182,Braganca,BR,2021-10-06 19:45:48,-1.0536,-46.7656,83.7,68,100,6.17
183,Coquimbo,CL,2021-10-06 19:43:16,-29.9533,-71.3436,58.73,72,20,12.66
184,Ostrovnoy,RU,2021-10-06 19:45:49,68.0531,39.5131,47.53,88,99,20.56
185,Presidencia Roque Saenz Pena,AR,2021-10-06 19:45:49,-26.7852,-60.4388,76.86,45,100,12.88
186,Caravelas,BR,2021-10-06 19:45:49,-17.7125,-39.2481,77.47,74,2,6.64
187,Sola,VU,2021-10-06 19:45:50,-13.8833,167.55,80.29,77,38,11.5
188,Mahibadhoo,MV,2021-10-06 19:45:50,3.7833,72.9667,83.32,74,88,13.22
189,Salamiyah,SY,2021-10-06 19:45:50,35.0113,37.0532,66.51,24,0,6.82
190,Ruteng,ID,2021-10-06 19:45:51,-8.6136,120.4721,61.56,93,76,3.8
191,Honiara,SB,2021-10-06 19:45:51,-9.4333,159.95,78.94,83,97,4.5
192,Jiazi,CN,2021-10-06 19:45:51,22.8779,116.067,80.17,84,1,17.27
193,Georgetown,MY,2021-10-06 19:45:52,5.4112,100.3354,76.98,89,40,7.0
194,Bengkulu,ID,2021-10-06 19:45:52,-3.8004,102.2655,73.6,94,100,2.66
195,Antofagasta,CL,2021-10-06 19:44:02,-23.65,-70.4,61.88,69,97,6.89
196,Nouakchott,MR,2021-10-06 19:45:53,18.0858,-15.9785,82.33,67,100,10.71
197,Avarua,CK,2021-10-06 19:45:53,-21.2078,-159.775,77.05,69,18,13.8
198,Kyren,RU,2021-10-06 19:45:53,51.6828,102.1408,31.98,83,87,1.43
199,Sile,TR,2021-10-06 19:45:54,41.1754,29.6133,61.57,75,20,7.0
200,Nizhniy Baskunchak,RU,2021-10-06 19:45:54,48.2198,46.8311,45.46,34,97,12.97
201,Bathsheba,BB,2021-10-06 19:45:55,13.2167,-59.5167,81.21,83,75,17.27
202,Riachao,BR,2021-10-06 19:45:55,-7.3619,-46.6172,98.31,18,81,5.14
203,Marawi,PH,2021-10-06 19:45:55,7.9986,124.2928,66.65,86,100,2.59
204,Puerto Escondido,MX,2021-10-06 19:45:56,15.85,-97.0667,88.63,62,40,9.22
205,Panlaitan,PH,2021-10-06 19:45:56,12.1191,119.8486,81.9,79,99,9.28
206,Cidreira,BR,2021-10-06 19:45:56,-30.1811,-50.2056,67.26,72,100,10.09
207,Coari,BR,2021-10-06 19:45:57,-4.085,-63.1414,84.15,67,100,3.83
208,Hithadhoo,MV,2021-10-06 19:45:57,-0.6,73.0833,83.68,74,27,12.12
209,Ribeira Grande,PT,2021-10-06 19:45:58,38.5167,-28.7,73.8,88,75,9.22
210,Kavaratti,IN,2021-10-06 19:45:58,10.5669,72.642,81.1,80,100,9.4
211,Grindavik,IS,2021-10-06 19:45:59,63.8424,-22.4338,44.55,70,75,17.27
212,Ancud,CL,2021-10-06 19:45:59,-41.8697,-73.8203,58.53,52,0,5.73
213,Copiapo,CL,2021-10-06 19:43:17,-27.3667,-70.3333,58.69,26,95,7.87
214,Jalu,LY,2021-10-06 19:45:59,29.0331,21.5482,72.5,34,0,5.73
215,Odweyne,SO,2021-10-06 19:46:00,9.4092,45.064,77.81,54,100,9.1
216,Port Hardy,CA,2021-10-06 19:45:39,50.6996,-127.4199,50.0,87,75,3.44
217,Fairbanks,US,2021-10-06 19:41:05,64.8378,-147.7164,41.22,79,75,6.91
218,Tarakan,ID,2021-10-06 19:46:00,3.3,117.6333,79.72,82,100,4.34
219,Luderitz,NA,2021-10-06 19:46:01,-26.6481,15.1594,60.62,63,0,2.51
220,Tazovskiy,RU,2021-10-06 19:46:01,67.4667,78.7,41.14,94,100,20.62
221,Tual,ID,2021-10-06 19:46:02,-5.6667,132.75,81.59,78,100,17.76
222,Chingirlau,KZ,2021-10-06 19:46:02,51.095,54.0814,38.03,69,4,6.49
223,Ketchikan,US,2021-10-06 19:43:34,55.3422,-131.6461,46.87,66,1,9.22
224,Abu Dhabi,AE,2021-10-06 19:41:51,24.4667,54.3667,89.71,70,0,4.61
225,Tilichiki,RU,2021-10-06 19:46:03,60.4667,166.1,26.31,89,100,9.69
226,Benguela,AO,2021-10-06 19:46:03,-12.5763,13.4055,72.3,78,100,4.38
227,Seymchan,RU,2021-10-06 19:46:04,62.8833,152.4333,16.21,74,37,2.8
228,Nuevo Progreso,MX,2021-10-06 19:46:04,23.1667,-97.95,88.59,42,0,5.01
229,Kodinar,IN,2021-10-06 19:46:04,20.7903,70.7031,81.73,78,100,6.62
230,Muisne,EC,2021-10-06 19:46:05,0.6,-80.0333,78.91,84,99,13.4
231,Buraydah,SA,2021-10-06 19:46:05,26.326,43.975,86.45,18,0,7.65
232,Bambous Virieux,MU,2021-10-06 19:46:05,-20.3428,57.7575,69.22,94,75,4.61
233,Kharovsk,RU,2021-10-06 19:46:06,59.9642,40.1912,40.33,89,87,6.17
234,Yamada,JP,2021-10-06 19:46:06,39.4667,141.95,56.57,86,52,1.28
235,Cabo San Lucas,MX,2021-10-06 19:41:45,22.8909,-109.9124,96.51,58,0,5.77
236,Mancio Lima,BR,2021-10-06 19:46:07,-7.6142,-72.8958,84.27,74,75,4.61
237,Korla,CN,2021-10-06 19:46:07,41.7597,86.1469,58.42,32,100,4.12
238,Codrington,AU,2021-10-06 19:46:07,-38.2667,141.9667,44.74,77,23,9.93
239,Harrismith,ZA,2021-10-06 19:46:08,-28.2728,29.1295,54.63,89,58,9.31
240,Roald,NO,2021-10-06 19:43:40,62.5833,6.1333,52.9,87,75,14.97
241,Geraldton,AU,2021-10-06 19:46:08,-28.7667,114.6,43.21,87,0,6.91
242,Poindimie,NC,2021-10-06 19:46:08,-20.9333,165.3333,72.14,68,0,5.28
243,Duliagaon,IN,2021-10-06 19:46:09,27.3667,95.3167,72.28,92,0,1.52
244,Pisco,PE,2021-10-06 19:46:09,-13.7,-76.2167,68.05,68,0,6.91
245,Aksay,RU,2021-10-06 19:46:09,47.26,39.87,44.04,31,3,16.06
246,Vievis,LT,2021-10-06 19:46:10,54.7667,24.8,52.99,62,73,14.74
247,Sistranda,NO,2021-10-06 19:46:10,63.7256,8.834,51.91,86,100,15.95
248,Nelson Bay,AU,2021-10-06 19:43:42,-32.7167,152.15,59.68,84,100,7.18
249,Kremenchuk,UA,2021-10-06 19:46:10,49.0973,33.4197,43.83,37,0,10.56
